headline,url
How We Identified the D.N.C. Hack’s ‘Patient Zero’,https://www.nytimes.com/2016/12/20/insider/how-we-identified-the-dnc-hacks-patient-zero.html
Investigate Russian Hacking the Right Way,https://www.nytimes.com/2016/12/22/opinion/investigate-russian-hacking-the-right-way.html
"How to Live Without Irony (for Real, This Time)",https://www.nytimes.com/2016/12/19/opinion/how-to-live-without-irony-for-real-this-time-.html
Senators Push to Broaden Inquiry on Election Hacking,https://www.nytimes.com/2016/12/18/us/politics/senators-push-to-broaden-inquiry-on-election-hacking.html
"Lessons From 2016 for the News Media, as the Ground Shifts",https://www.nytimes.com/2016/12/25/business/news-media-presidential-race-trump.html
"The Women Who Met Hillary, and Spotted a Future Political Star",https://www.nytimes.com/2016/12/24/style/hillary-clinton-betsey-wright-women-in-politics.html
The Electoral College Meets Monday. Here’s What to Expect.,https://www.nytimes.com/2016/12/18/us/politics/the-electoral-college-meets-monday-heres-what-to-expect.html
"In Donald McGahn, Donald Trump Gets a Combative White House Counsel",https://www.nytimes.com/2016/12/12/us/politics/donald-trump-white-house-counsel-donald-mcgahn.html
"In a North Carolina Town, Terrorism Abroad Raises Apprehension",https://www.nytimes.com/2016/12/23/us/muslims-north-carolina-hendersonville.html
Why Russia’s Cyberattack Wasn’t Stopped,https://www.nytimes.com/2016/12/16/podcasts/why-russias-cyberattack-wasnt-stopped.html
"Donald Trump Completes Final Lap, Electoral College, to White House",https://www.nytimes.com/2016/12/19/us/politics/electoral-college-vote.html
Unsealed Documents Outline F.B.I.’s Reasoning in Clinton Case,https://www.nytimes.com/2016/12/20/nyregion/unsealed-documents-outline-fbis-reasoning-in-clinton-case.html
Red State Hope for Democratic Blues,https://www.nytimes.com/2016/12/23/opinion/red-state-hope-for-democratic-blues.html
Was Barack Obama Bad for Democrats?,https://www.nytimes.com/2016/12/23/opinion/was-barack-obama-bad-for-democrats.html
Sticky Notes Bearing Election Hopes and Fears Removed from Subway,https://www.nytimes.com/2016/12/16/nyregion/subway-election-therapy-wall-sticky-notes.html
Best of The Times’s Live Interactive Journalism on Facebook Live in 2016,https://www.nytimes.com/interactive/2016/12/27/multimedia/fblive-yearend.html
The Many Meanings of the Pantsuit,https://www.nytimes.com/2016/12/20/fashion/pantsuit-yoko-ono-performance-art.html
A Chance Encounter on the Road Not Taken,https://www.nytimes.com/2016/12/16/insider/a-chance-encounter-on-the-road-not-taken.html
The Tainted Election,https://www.nytimes.com/2016/12/12/opinion/the-tainted-election.html
"Electoral College Settles Donald Trump’s Victory, but Little Else",https://www.nytimes.com/2016/12/19/us/politics/election-donald-trump.html
Time to End the Electoral College,https://www.nytimes.com/2016/12/19/opinion/time-to-end-the-electoral-college.html
One Problem for Democratic Leaders Is Democratic Voters,https://www.nytimes.com/2016/12/22/opinion/one-problem-for-democratic-leaders-is-democratic-voters.html
"Book Deal for Pantsuit Nation, Facebook Page Supporting Hillary Clinton",https://www.nytimes.com/2016/12/19/books/pantsuit-nation-facebook-page-hillary-clinton-book-deal.html
The Year in Pictures 2016,https://www.nytimes.com/interactive/2016/12/22/sunday-review/2016-year-in-pictures.html
Trump Ends ‘Thank You’ Tour on Familiar Theme: Reveling in His Victory,https://www.nytimes.com/2016/12/17/us/politics/donald-trump-alabama-victory-rally.html
Russian Hackers and the 2016 Election,https://www.nytimes.com/2016/12/14/opinion/russian-hackers-and-the-2016-election.html
Where Do the Democrats Go From Here?,https://www.nytimes.com/2016/12/14/opinion/where-do-the-democrats-go-from-here.html
A Plea to the Electors,https://www.nytimes.com/2016/12/15/opinion/a-plea-to-the-electors.html
"All This Talk of Voter Fraud? Across U.S., Officials Found Next to None",https://www.nytimes.com/2016/12/18/us/voter-fraud.html
Are Americans Experiencing Collective Trauma?,https://www.nytimes.com/2016/12/16/opinion/sunday/are-americans-experiencing-collective-trauma.html
Clinton Says ‘Personal Beef’ by Putin Led to Hacking Attacks,https://www.nytimes.com/2016/12/16/us/politics/hillary-clinton-russia-fbi-comey.html
Trump’s Electoral College Victory Ranks 46th in 58 Elections,https://www.nytimes.com/interactive/2016/12/18/us/elections/donald-trump-electoral-college-popular-vote.html
Judge Orders Release of Some Documents Related to Clinton Email Inquiry,https://www.nytimes.com/2016/12/19/nyregion/hillary-clinton-emails-huma-abedin-fbi.html
My Family Was Interned. Now They’re With Trump.,https://www.nytimes.com/2016/12/17/opinion/sunday/my-family-was-interned-now-theyre-with-trump.html
"Buck Up, Democrats, and Fight Like Republicans",https://www.nytimes.com/2016/12/14/opinion/buck-up-democrats-and-fight-like-republicans.html
Russia’s Hand in America’s Election,https://www.nytimes.com/2016/12/11/opinion/russias-hand-in-americas-election.html
Pennsylvania and Wisconsin End Election Recount Efforts,https://www.nytimes.com/2016/12/12/us/pennsylvania-and-wisconsin-end-election-recount-efforts.html
The D.C.C.C. Responds to the Hack,https://www.nytimes.com/interactive/2016/12/13/us/politics/document-DCCC-Response-to-Hack.html
Why Trump Had an Edge in the Electoral College,https://www.nytimes.com/2016/12/19/upshot/why-trump-had-an-edge-in-the-electoral-college.html
Donald Trump’s Alt-Reality,https://www.nytimes.com/2016/12/15/opinion/donald-trumps-alt-reality.html
McConnell Eyed Ryan Zinke for a Senate Seat. Donald Trump Had Other Ideas.,https://www.nytimes.com/2016/12/16/us/politics/ryan-zinke-mitch-mcconnell-trump-cabinet.html
Why G.O.P. Electoral College Members Can Vote Against Trump,https://www.nytimes.com/2016/12/15/opinion/why-gop-electoral-college-members-can-vote-against-trump.html
"Now, America, You Know How Chileans Felt",https://www.nytimes.com/2016/12/16/opinion/now-america-you-know-how-chileans-felt.html
Obama Says He Told Putin: ‘Cut It Out’ on Hacking,https://www.nytimes.com/2016/12/16/us/politics/obama-putin-hacking-news-conference.html
The Stock Market Looks Awfully Expensive Since the Trump Rally,https://www.nytimes.com/2016/12/19/upshot/the-stock-market-looks-awfully-expensive-since-the-trump-rally.html
"Across Age Groups, Whites Fared Worse in Employment Rates",https://www.nytimes.com/2016/12/16/business/economy/economy-jobs-voters-race.html
E.U. Faces Its Next Big Test as France’s Election Looms,https://www.nytimes.com/2016/12/17/world/europe/european-union-france-frexit-marine-le-pen.html
"Biden, Sanders, Warren: Too Soon for 2020?",https://www.nytimes.com/2016/12/16/upshot/biden-sanders-warren-too-soon-for-2020.html
Useful Idiots Galore,https://www.nytimes.com/2016/12/16/opinion/useful-idiots-galore.html
Trump Style vs. Texas Style: Who’s Angry Now?,https://www.nytimes.com/2016/12/12/insider/trump-style-vs-texas-style-whos-angry-now.html
Krista Tippett Thinks We Can’t Change One Another’s Minds,https://www.nytimes.com/2016/12/14/magazine/krista-tippett-thinks-we-cant-change-one-anothers-minds.html
Editors Defend Coverage of Stolen Emails After News of Russian Hacks,https://www.nytimes.com/2016/12/15/business/media/russian-hacking-stolen-emails.html
Trump’s Approach: A Fresh Start or Crazy Reckless?,https://www.nytimes.com/2016/12/14/opinion/trumps-approach-a-fresh-start-or-crazy-reckless.html
Obama Says U.S. Will Retaliate for Russia’s Election Meddling,https://www.nytimes.com/2016/12/15/us/politics/russia-hack-election-trump-obama.html
U.S. Faces Tall Hurdles in Detaining or Deterring Russian Hackers,https://www.nytimes.com/2016/12/15/us/politics/russian-hackers-election.html
Charlie Sykes on Where the Right Went Wrong,https://www.nytimes.com/2016/12/15/opinion/sunday/charlie-sykes-on-where-the-right-went-wrong.html
Donald Trump: The Russian Poodle,https://www.nytimes.com/2016/12/17/opinion/sunday/donald-trump-the-russian-poodle.html
C.I.A. Judgment on Russia Built on Swell of Evidence,https://www.nytimes.com/2016/12/11/us/politics/cia-judgment-intelligence-russia-hacking-evidence.html
Arguing the Truth with Trump and Putin,https://www.nytimes.com/2016/12/17/opinion/sunday/arguing-the-truth-with-trump-and-putin.html
"Democrats at Crossroads: Win Back Working-Class Whites, or Let Them Go?",https://www.nytimes.com/2016/12/15/us/politics/democrats-joe-biden-hillary-clinton.html
How a Putin Fan Overseas Pushed Pro-Trump Propaganda to Americans,https://www.nytimes.com/2016/12/17/world/europe/russia-propaganda-elections.html
Donald Trump’s Denial About Russia,https://www.nytimes.com/2016/12/15/opinion/donald-trumps-denial-about-russia.html
Russia and the U.S. Election: What We Know and Don’t Know,https://www.nytimes.com/2016/12/12/world/europe/russia-trump-election-cia-fbi.html
Putin Is Waging Information Warfare. Here’s How to Fight Back.,https://www.nytimes.com/2016/12/14/opinion/putin-is-waging-information-warfare-heres-how-to-fight-back.html
"Trump and Putin, in the Barn",https://www.nytimes.com/2016/12/16/opinion/trump-and-putin-in-the-barn.html
Russia’s Hacks Followed Years of Paranoia Toward Hillary Clinton,https://www.nytimes.com/2016/12/16/world/europe/russia-hacks-putin-hillary-clinton.html
"Cheer Up, Andrew Rosenthal! Podcast Listeners Send Along Good News",https://www.nytimes.com/2016/12/09/insider/cheer-up-andrew-rosenthal-podcast-listeners-send-along-good-news.html
40 Minutes With Kellyanne Conway,https://www.nytimes.com/2016/12/09/podcasts/40-minutes-with-kellyanne-conway.html
Twitter Has the Right to Suspend Donald Trump. But It Shouldn’t.,https://www.nytimes.com/2016/12/14/technology/twitter-has-the-right-to-suspend-donald-trump-but-it-shouldnt.html
Rolling Back Abortion Rights After Donald Trump’s Election,https://www.nytimes.com/2016/12/13/opinion/rolling-back-abortion-rights-after-donald-trumps-election.html
Democratic House Candidates Were Also Targets of Russian Hacking,https://www.nytimes.com/2016/12/13/us/politics/house-democrats-hacking-dccc.html
"Questions for: ‘Russian Hackers Acted to Aid Trump in Election, U.S. Says’",https://www.nytimes.com/2016/12/13/learning/questions-for-russian-hackers-acted-to-aid-trump-in-election-us-says.html
The Market and the ‘Trump Effect’: What Do the Tea Leaves Say?,https://www.nytimes.com/2016/12/15/business/trump-effect-investors-stock-market.html
"Trump Spent Far Less Than Clinton, but Paid His Companies Well",https://www.nytimes.com/2016/12/09/us/politics/campaign-spending-donald-trump-hillary-clinton.html
Federal Judge Clears Way to End Michigan Recount,https://www.nytimes.com/2016/12/07/us/politics/michigan-recount-jill-stein.html
"Loath to Meddle in Election, Obama Delayed Blaming Russia for D.N.C. Hack",https://www.nytimes.com/2016/12/14/us/politics/obama-russia-hack-democrats.html
Senate and House Leaders Call for Inquiry of Russian Hacking in Election,https://www.nytimes.com/2016/12/12/us/politics/mcconnell-supports-inquiry-of-russian-hacking-during-election.html
"With Election Defeat, Ghana’s President Becomes Casualty of Faltering Economy",https://www.nytimes.com/2016/12/09/world/africa/ghana-election-nana-akufo-addo-defeats-john-mahama.html
"Yahya Jammeh, Gambian President, Now Refuses to Accept Election Defeat",https://www.nytimes.com/2016/12/09/world/africa/yahya-jammeh-gambia-rejects-vote-defeat-adama-barrow.html
"Donald Trump Is Time’s Person of the Year, to No One’s Surprise",https://www.nytimes.com/2016/12/07/business/media/donald-trump-time-person-of-the-year.html
"To Understand Trump, Learn Russian",https://www.nytimes.com/2016/12/15/opinion/to-understand-trump-learn-russian.html
Macedonian Election With Chance to Break Deadlock Ends in Virtual Tie,https://www.nytimes.com/2016/12/11/world/europe/macedonia-parliament-elections.html
Trump Links C.I.A. Reports on Russia to Democrats’ Shame Over Election,https://www.nytimes.com/2016/12/11/us/politics/trump-russia-democrats.html
Trump Voters Are Feeling It,https://www.nytimes.com/2016/12/08/opinion/trump-voters-are-feeling-it.html
"Stein Ends Recount Bid, but Says It Revealed Flaws in Voting System",https://www.nytimes.com/2016/12/13/us/stein-ends-recount-bid-but-says-it-revealed-flaws-in-voting-system.html
Congressional Query Into Russian Meddling Could Revive Bipartisan Oversight,https://www.nytimes.com/2016/12/13/us/politics/congress-russia-mcconnel-graham-mccain.html
The Perfect Weapon: How Russian Cyberpower Invaded the U.S.,https://www.nytimes.com/2016/12/13/us/politics/russia-hack-election-dnc.html
How to Know What Donald Trump Really Cares About: Look at What He’s Insulting,https://www.nytimes.com/interactive/2016/12/06/upshot/how-to-know-what-donald-trump-really-cares-about-look-at-who-hes-insulting.html
"In Arizona County Where Latinos Have an Edge, So Did Trump",https://www.nytimes.com/2016/12/13/us/politics/yuma-county-arizona-latinos-trump.html
Trump Plans Technology Conference With Silicon Valley Executives,https://www.nytimes.com/2016/12/06/us/politics/donald-trump-transition.html
The Best Art of 2016,https://www.nytimes.com/2016/12/07/arts/design/best-art.html
"A ‘Political Horror Show’ of Recounts, 16 Years After Hanging Chads",https://www.nytimes.com/2016/12/09/us/a-political-horror-show-of-recounts-16-years-after-hanging-chads.html
Michael Flynn Is Harsh Judge of C.I.A.’s Role,https://www.nytimes.com/2016/12/12/us/politics/donald-trump-cia-michael-flynn.html
"Rex Tillerson’s Company, Exxon, Has Billions at Stake Over Sanctions on Russia",https://www.nytimes.com/2016/12/12/world/europe/rex-tillersons-company-exxon-has-billions-at-stake-over-russia-sanctions.html
Veterans Groups Urge Trump to Keep Obama’s V.A. Secretary,https://www.nytimes.com/2016/12/12/us/veterans-groups-urge-trump-to-keep-obamas-va-secretary.html
"Democrats Hone a New Message: It’s the Economy, Everyone",https://www.nytimes.com/2016/12/10/us/democrats-economy-working-class.html
"After a Cyberattack, Germany Fears Election Disruption",https://www.nytimes.com/2016/12/08/world/europe/germany-russia-hacking.html
Hong Kong’s Beijing-Backed Leader Says He Will Not Seek Re-election,https://www.nytimes.com/2016/12/09/world/asia/hong-kong-cy-leung-reelection.html
A Plea to Electors: Vote Your Conscience,https://www.nytimes.com/2016/12/06/opinion/a-plea-to-electors-vote-your-conscience.html
Trump Isn’t Rewarding a Lot of Loyalists with Cabinet Jobs. Here’s Why.,https://www.nytimes.com/2016/12/09/us/politics/trump-administration.html
The Top Political Tweets and Hashtags of 2016,https://www.nytimes.com/2016/12/06/technology/top-tweets-politics-2016.html
"Mehdi Karroubi, Iranian Cleric Under House Arrest, Quits Political Party",https://www.nytimes.com/2016/12/27/world/middleeast/mehdi-karroubi-iran-national-trust-party.html
Where Were Trump’s Votes? Where the Jobs Weren’t,https://www.nytimes.com/2016/12/13/business/economy/jobs-economy-voters.html
What Women Really Think of Men,https://www.nytimes.com/2016/12/09/opinion/sunday/what-women-really-think-of-men.html
"Trump, Mocking Claim That Russia Hacked Election, at Odds with G.O.P.",https://www.nytimes.com/2016/12/10/us/politics/trump-mocking-claim-that-russia-hacked-election-at-odds-with-gop.html
Issues Where Trump’s Cabinet Picks and Most Americans Differ,https://www.nytimes.com/interactive/2016/12/09/us/politics/issues-trump-cabinet-american-opinion.html
"Obama, Trump and Russian Hacking",https://www.nytimes.com/2016/12/30/opinion/obama-trump-and-russian-hacking.html
Why I Will Not Cast My Electoral Vote for Donald Trump,https://www.nytimes.com/2016/12/05/opinion/why-i-will-not-cast-my-electoral-vote-for-donald-trump.html
The Scope of Hate in 2016,https://www.nytimes.com/2016/12/28/opinion/the-scope-of-hate-in-2016.html
Mike Pence Joins Conservatives to Revel in Trump’s Win,https://www.nytimes.com/2016/12/06/us/politics/mike-pence-heritage-foundation.html
"Russian Hackers Acted to Aid Trump in Election, U.S. Says",https://www.nytimes.com/2016/12/09/us/obama-russia-election-hack.html
"On Campus, Trump Fans Say They Need ‘Safe Spaces’",https://www.nytimes.com/2016/12/08/us/politics/political-divide-on-campuses-hardens-after-trumps-victory.html
An Alt-Right Makeover Shrouds the Swastikas,https://www.nytimes.com/2016/12/10/us/alt-right-national-socialist-movement-white-supremacy.html
"Rex Tillerson, an Aggressive Dealmaker Whose Ties With Russia May Prompt Scrutiny",https://www.nytimes.com/2016/12/11/business/rex-tillerson-secretary-of-state-russia.html
What Are Your Reactions to President-Elect Trump’s Cabinet Appointments?,https://www.nytimes.com/2016/12/06/learning/what-are-your-reactions-to-president-elect-trumps-cabinet-appointments.html
"Finding Hate Crimes on the Rise, Leaders Condemn Vicious Acts",https://www.nytimes.com/2016/12/05/nyregion/hate-crimes-are-on-the-rise-in-new-york-city.html
North Carolina Judge Delays Law Overhauling Elections Panel,https://www.nytimes.com/2016/12/30/us/north-carolina-election.html
"In a Year of Election Upsets, Uzbekistan Delivers the Expected",https://www.nytimes.com/2016/12/05/world/asia/uzbekistan-election-president.html
Jill Stein Takes Long-Shot Recount Campaign to Trump Tower,https://www.nytimes.com/2016/12/05/us/jill-stein-takes-long-shot-recount-campaign-to-trump-tower.html
"The 2016 Sidney Awards, Part Deux",https://www.nytimes.com/2016/12/30/opinion/the-2016-sidney-awards-part-deux.html
Does Racism Explain Donald Trump’s Victory?,https://www.nytimes.com/2016/12/28/opinion/does-racism-explain-donald-trumps-victory.html
Paul Ryan’s Dangerous Silence on Donald Trump,https://www.nytimes.com/2016/12/07/opinion/paul-ryans-dangerous-silence-on-donald-trump.html
Is the Recent Spike in Marriages a Trump Bump?,https://www.nytimes.com/2016/12/29/nyregion/marriages-since-trump-election.html
Let’s Talk: A Clinton and Trump Supporter Together in Colorado,https://www.nytimes.com/2016/12/28/us/lets-talk-a-clinton-and-trump-supporter-together-in-colorado.html
Courts Disagree Over Michigan Vote Recount,https://www.nytimes.com/2016/12/06/us/politics/michigan-vote-recount.html
Trump’s Agents of Idiocracy,https://www.nytimes.com/2016/12/05/opinion/trumps-agents-of-idiocracy.html
Million-Dollar Tickets to the Inaugural,https://www.nytimes.com/2016/12/05/opinion/million-dollar-tickets-to-the-inaugural.html
"Daily Report: Russia Is Punished for Hacking, but for How Long?",https://www.nytimes.com/2016/12/30/technology/daily-report-russia-is-punished-for-hacking-but-for-how-long.html
"As Fake News Spreads Lies, More Readers Shrug at the Truth",https://www.nytimes.com/2016/12/06/us/fake-news-partisan-republican-democrat.html
Sleepy New Jersey Town Wakes to a New Identity: Trump’s ‘Camp David North’,https://www.nytimes.com/2016/12/30/nyregion/sleepy-new-jersey-town-wakes-to-a-new-identity-trumps-camp-david-north.html
Donald Trump and My Sanity,https://www.nytimes.com/2016/12/22/opinion/donald-trump-and-my-sanity.html
Ghana Presidential Vote Hinges on Economic Perceptions,https://www.nytimes.com/2016/12/06/world/africa/ghana-election-john-mahama.html
Why Netanyahu Will Miss Obama,https://www.nytimes.com/2016/12/29/opinion/why-netanyahu-will-miss-obama.html
How Would the Electoral College Dump Donald Trump?,https://www.nytimes.com/2016/12/06/opinion/how-would-the-electoral-college-dump-donald-trump.html
"Donald Trump, After Dismissing Hacking, Agrees to an Intelligence Briefing",https://www.nytimes.com/2016/12/29/us/politics/donald-trump-russia-hack.html
Trump and Clinton Aides Clash During Election Forum,https://www.nytimes.com/2016/12/01/us/politics/campaign-managers-trump-clinton-crackle-in-debate.html
The Far Right Suffers a Defeat in Austria. What Can We Learn?,https://www.nytimes.com/2016/12/06/opinion/the-far-right-suffers-a-defeat-in-austria-what-can-we-learn.html
The Trump Transition Reality Show,https://www.nytimes.com/2016/12/01/podcasts/the-trump-transition-reality-show.html
"Trump Is Still Not Very Popular, and His Problem With Women Could Return",https://www.nytimes.com/2016/12/08/us/politics/donald-trump-transition.html
Differing Outlooks as the Trump Presidency Nears,https://www.nytimes.com/2016/12/29/opinion/differing-outlooks-as-the-trump-presidency-nears.html
Trump Backers Go to Court to Block Vote Recounts in 3 States,https://www.nytimes.com/2016/12/02/us/trump-recounts-wisconsin-michigan-pennsylvania.html
Obama Threatens Action Against Russia,https://www.nytimes.com/video/us/politics/100000004826836/obama-threatens-action-against-russia.html
Jill Stein’s Pennsylvania Recount Effort Is Dealt a Major Setback,https://www.nytimes.com/2016/12/03/us/jill-stein-pennsylvania-recount.html
"Trump Takes Credit for Sprint Plan to Add 5,000 Jobs in U.S.",https://www.nytimes.com/2016/12/28/us/politics/donald-trump-sprint-jobs.html
Donald Trump’s Big Idea: Don’t Blame Me,https://www.nytimes.com/2016/12/07/opinion/donald-trumps-big-idea-dont-blame-me.html
"‘Church Militant’ Theology Is Put to New, and Politicized, Use",https://www.nytimes.com/2016/12/30/us/church-militant-theology-is-put-to-new-and-politicized-use.html
De Blasio and Big City Mayors Try Pooling Their Power Against Trump,https://www.nytimes.com/2016/12/29/nyregion/bill-de-blasio-donald-trump-mayors.html
Donald Trump Fires a Troll,https://www.nytimes.com/2016/12/07/opinion/donald-trump-fires-a-troll-michael-flynn-jr.html
After the Electoral College Vote,https://www.nytimes.com/2016/12/21/opinion/after-the-electoral-college-vote.html
Spies vs. Spies: A Cold War Regularity That Never Quite Cooled,https://www.nytimes.com/2016/12/29/world/europe/spies-vs-spies-a-cold-war-regularity-that-never-quite-cooled.html
A Song for Bill de Blasio Sounds a Sour Note for Watchdogs,https://www.nytimes.com/2016/12/27/nyregion/a-song-for-bill-de-blasio-sounds-a-sour-note-for-watchdogs.html
Vladimir Putin Won’t Expel U.S. Diplomats as Russian Foreign Minister Urged,https://www.nytimes.com/2016/12/30/world/europe/russia-diplomats-us-hacking.html
‘We’re Going to Get This Done’: Wisconsin Vote Recount Is Underway,https://www.nytimes.com/2016/12/01/us/vote-recounts-wisconsin-michigan-pennsylvania.html
"Tomi Lahren: Young, Vocal and the Right’s Rising Media Star",https://www.nytimes.com/2016/12/04/business/media/tomi-lahren-young-vocal-and-the-rights-rising-media-star.html
Rising Consumer Confidence Is Driven by High Expectations for Trump,https://www.nytimes.com/2016/12/27/business/trump-consumer-confidence-index-real-estate-home-prices-on-the-rise.html
"U.S. Labor Market Remains Healthy but Exports Weaken, Reports Show",https://www.nytimes.com/2016/12/29/business/us-labor-market-remains-healthy-but-exports-weaken-reports-show.html
The End for Ghana’s ‘Power-Cut’ President,https://www.nytimes.com/2016/12/26/opinion/the-end-for-ghanas-power-cut-president.html
Question Facing Keith Ellison: Could He Lead D.N.C. as Part-Timer?,https://www.nytimes.com/2016/12/03/us/politics/new-question-for-keith-ellison-could-he-lead-dnc-as-part-timer.html
"Gambia’s President, in Power 22 Years, Loses Election",https://www.nytimes.com/2016/12/02/world/africa/gambia-election.html
Quotation of the Day,https://www.nytimes.com/2016/12/16/todayspaper/quotation-of-the-day.html
Trump vs. the Constitution,https://www.nytimes.com/interactive/2016/11/29/us/politics/trump-constitution.html
"Ed Reinecke, Lieutenant Governor Ensnared by Watergate, Dies at 92",https://www.nytimes.com/2016/12/28/us/politics/edward-reinecke-died-watergate-perjury-case.html
"Tracee Ellis Ross, Bill Hader, Zac Posen and Jurnee Smollett-Bell on Their TV of the Year",https://www.nytimes.com/2016/12/30/watching/tracee-ellis-ross-bill-hader-favorite-tv-2016.html
"Daily Report: Inside Snopes, a Fighter of Fake News",https://www.nytimes.com/2016/12/27/technology/daily-report-inside-snopes-a-fighter-of-fake-news.html
"Questions for: ‘Harvesting Government History, One Web Page at a Time’",https://www.nytimes.com/2016/12/06/learning/questions-for-harvesting-government-history-one-web-page-at-a-time.html
"Trump Unveils High-Powered and Well-Heeled Business Council, and Invites Filipino Strongman to White House",https://www.nytimes.com/2016/12/02/us/politics/donald-trump-transition.html
"Catholic Churches in China Should Be Independent of Vatican, Official Says",https://www.nytimes.com/2016/12/30/world/asia/china-catholic-vatican.html
President François Hollande of France Won’t Seek Re-election,https://www.nytimes.com/2016/12/01/world/europe/president-francois-hollande-of-france-says-he-will-not-run-for-re-election.html
Tracing the Blue Blood of New York’s Elite,https://www.nytimes.com/2016/12/30/nyregion/tracing-the-blue-blood-of-new-yorks-elite.html
"Say What, Al Gore, Ivanka Trump and Donald Trump?",https://www.nytimes.com/2016/12/07/opinion/say-what-al-gore-ivanka-trump-and-donald-trump.html
Why Does Donald Trump Lie About Voter Fraud?,https://www.nytimes.com/2016/12/05/opinion/why-does-donald-trump-lie-about-voter-fraud.html
"For Fact-Checking Website Snopes, a Bigger Role Brings More Attacks",https://www.nytimes.com/2016/12/25/technology/for-fact-checking-website-snopes-a-bigger-role-brings-more-attacks.html
2016: Worst. Year. Ever?,https://www.nytimes.com/2016/12/28/opinion/2016-worst-year-ever.html
"Vote Recount Push Advances, but Reversing Trump’s Win Is Unlikely",https://www.nytimes.com/2016/11/28/us/politics/donald-trump-hillary-clinton-recount.html
What Nutmeg Can Tell Us About Nafta,https://www.nytimes.com/2016/12/30/opinion/sunday/clove-trees-the-color-of-ash.html
"After a Year of Faulty Predictions, 3 Approaches to Investing",https://www.nytimes.com/2016/12/30/your-money/after-a-year-of-faulty-predictions-3-approaches-to-investing.html
Will Ivanka Trump Be the Most Powerful First Daughter in History?,https://www.nytimes.com/2016/12/03/fashion/ivanka-trump-first-daughter.html
Theresa May Scolds Kerry for Focus on Israel Settlements,https://www.nytimes.com/2016/12/30/world/europe/theresa-may-john-kerry-uk-israel.html
The Story Behind a Well-Timed Photo of Debbie Reynolds and Carrie Fisher,https://www.nytimes.com/2016/12/29/movies/debbie-reynolds-carrie-fisher-photo.html
"Two Russian Compounds, Caught Up in History’s Echoes",https://www.nytimes.com/2016/12/29/us/politics/russia-spy-compounds-maryland-long-island.html
"After Bitter Campaign, Election Positions Trump to Shape Rules on How You Vote",https://www.nytimes.com/2016/12/02/us/politics/voting-rights-donald-trump.html
"Election in London, Seen as Gauge of ‘Brexit’ Zeal, Jolts British Government",https://www.nytimes.com/2016/12/02/world/europe/britain-byelection-brexit.html
China Warmly Welcomes a Giant Rooster With Trumpian Characteristics,https://www.nytimes.com/2016/12/29/world/asia/trump-china-rooster-statue.html
Trump Inauguration Security Planners Brace for Wave of Protesters,https://www.nytimes.com/2016/12/27/us/politics/donald-trump-inauguration-security.html
Recount Bids in 3 States Seem the Longest of Long Shots,https://www.nytimes.com/2016/11/30/us/elections/recount-bids-in-3-states-seem-the-longest-of-long-shots.html
Trump Therapy: With Love From Abroad,https://www.nytimes.com/video/opinion/100000004802677/trump-therapy-with-love-from-abroad.html
"Syria, Russia, Mosul: Your Friday Evening Briefing",https://www.nytimes.com/2016/12/30/briefing/syria-russia-mosul.html
